text,label
"The sun rises in the east",1
"Humans can breathe in space without equipment",0
"Water freezes at 0 degrees Celsius",1
"Bananas grow on trees",0
"Electricity can flow through water",1
"The Great Wall of China is visible from space with naked eye",0
"Sound needs a medium to travel",1
"Chameleons change color to match surroundings perfectly",0
"DNA carries genetic information",1
"Bulls get angry when they see red color",0
"Antibiotics kill viruses",0
"Earth has only one moon",1
"Lightning never strikes the same place twice",0
"Humans use only 10 percent of their brain",0
"Oxygen is required for combustion",1
"Glass is a supercooled liquid",0
"Sharks do not get cancer",0
"Gravity exists on the moon",1
"Touching a frog causes warts",0
"Earth is flat",0
